iter	Passed	Remaining
0	5330	527736
1	8140	398884
2	10552	341210
3	13222	317340
4	16096	305825
5	18656	292288
6	21661	287791
7	24065	276750
8	24114	243819
9	26298	236689
10	28764	232732
11	31364	230005
12	34462	230635
13	37172	228347
14	40174	227656
15	44143	231755
16	48152	235097
17	51306	233728
18	53807	229388
19	57179	228716
20	59881	225268
21	63092	223691
22	63232	211693
23	66364	210152
24	69406	208220
25	72328	205857
26	75508	204151
27	78500	201858
28	81578	199727
29	84901	198104
30	88126	196152
31	92589	196753
32	97230	197407
33	101360	196758
34	105019	195036
35	108322	192572
36	111875	190491
37	115290	188105
38	118988	186110
39	122363	183545
40	125847	181097
41	129581	178946
42	133217	176590
43	136642	173908
44	139768	170827
45	143359	168291
